temp3,time3,ar393,ar403,age3,age_err3
725,12,109.82,5575.05,90.79,0.63
775,12,98.11,2988.19,92.66,0.52
820,12,212.02,6018.54,91.57,0.5
850,12,340.72,8783.32,90.59,0.49
875,12,493.39,13065.36,94.46,0.51
900,12,468.74,12375.78,94.32,0.51
915,12,258.02,6884.24,94.63,0.51
930,12,185.93,5007.06,95.32,0.51
945,12,132.22,3591.6,95.79,0.51
960,12,91.03,2434.7,94.06,0.51
980,12,78.93,2079.94,92.38,0.5
1000,12,65.17,1706.67,91.61,0.5
1030,12,68.28,1749.13,89.85,0.48
1400,12,263.94,5915.05,77.79,0.42