Age,Age Error,40Ar_r,39Ar,37Ar,36Ar,Temperature (Degrees Celcius),39Ar_Err
12.33,1.39,1.472582,0.303411,0.000328,0.006899,748.3183519, 0.000024
12.87,0.99,1.597249,0.315196,0.000565,0.005022,754.8726606, 0.000036
12.95,0.75,1.620092,0.317683,0.000329,0.003704,761.325348, 0.000031
12.83,0.62,1.785435,0.353326,0.000329,0.003262,767.6795172, 0.000031
12.92,0.52,2.1793,0.428265,0.00033,0.003176,773.9381314, 0.000037
12.84,0.45,2.369707,0.468708,0.000343,0.002849,780.104022, 0.000035
12.81,0.4,2.64452,0.52416,0.000118,0.002667,786.1798963, 0.000035
12.9,0.37,3.049572,0.600311,0.000467,0.002583,792.1683449, 0.000044
12.74,0.34,3.028936,0.603782,0.000468,0.002288,798.0718482, 0.000059
12.69,0.33,3.232983,0.647071,0.00034,0.002205,803.8927822, 0.000048
12.56,0.31,3.272029,0.661713,0.000743,0.002029,809.633425, 0.000046
12.51,0.3,3.751004,0.761202,0.000676,0.00211,815.2959613, 0.000050
12.21,0.29,3.999553,0.832027,0.000368,0.002143,820.8824881, 0.000055
11.48,0.27,3.63215,0.803425,0.000374,0.001923,826.395019, 0.000054
10.58,0.25,3.14624,0.755631,0.001015,0.001715,831.8354887, 0.000051
9.45,0.24,2.733815,0.735202,0.00062,0.001673,837.2057567, 0.000053
8,0.22,2.164556,0.687638,0.000582,0.001598,842.5076119, 0.000068
6.38,0.19,1.596656,0.636429,0.000347,0.00142,847.7427752, 0.000047
4.66,0.18,1.12297,0.612831,0.001136,0.001442,852.9129038, 0.000024
3.63,0.16,0.833923,0.584646,0.001125,0.001299,858.0195937, 0.000024
2.99,0.16,0.650603,0.55356,0.001214,0.001219,863.0643827, 0.000051
2.72,0.15,0.619368,0.578796,0.001033,0.001214,868.0487537, 0.000043
2.63,0.14,0.624775,0.605329,0.001288,0.001169,872.9741366, 0.000039
2.53,0.14,0.600426,0.60518,0.001188,0.001149,877.8419114, 0.000043
2.39,0.14,0.571072,0.607953,0.001611,0.001141,882.65341, 0.000034
2.38,0.13,0.563323,0.603425,0.001177,0.001074,887.409919, 0.000038
2.4,0.12,0.562873,0.59633,0.001492,0.000925,892.1126809, 0.000037
2.4,0.11,0.555576,0.589076,0.00159,0.000847,896.7628968, 0.000036
2.38,0.11,0.54919,0.588669,0.001108,0.000838,901.3617282, 0.000048
2.54,0.11,0.770446,0.77278,0.001588,0.001108,914.8609656, 0.000057
2.53,0.11,0.908597,0.915169,0.002384,0.001252,927.9360723, 0.000064
2.28,0.09,0.913709,1.019361,0.00262,0.001152,952.9149678, 0.000113
2.2,0.09,0.89006,1.031054,0.002293,0.001142,964.8638267, 0.000076
2.16,0.08,0.824148,0.970798,0.002794,0.000987,976.4791853, 0.000058
2.2,0.08,0.832316,0.962186,0.002555,0.000952,987.7791554, 0.000076
2.05,0.09,0.684731,0.851026,0.002532,0.000902,998.7804127, 0.000047
1.89,0.1,0.535408,0.72307,0.001283,0.001023,1009.498344, 0.000060
1.71,0.09,0.399412,0.595237,0.000935,0.000635,1019.947177, 0.000044
1.42,0.09,0.284115,0.509262,0.001362,0.000433,1030.140095, 0.000043
1.25,0.1,0.202711,0.411542,0.002098,0.000378,1040.089334, 0.000042
1.36,0.11,0.180873,0.339815,0.00223,0.000261,1049.806273, 0.000036
1.38,0.11,0.367424,0.677311,0.006512,0.001031,1109.363413, 0.000040
1.62,0.29,0.083795,0.131393,0.000116,0.000392,1229.093815, 0.000025