Age,Age Error,40Ar_r,39Ar,37Ar,36Ar,Temperature (Degrees Celcius),,,
10.68,± 6.85,   0.068505,  0.016285,  0.001194, 0.001464,652.1319648,,,
13.76,± 3.16,   0.974192,  0.179662,  0.000410, 0.009423,728.0123735,,,
17.17,± 2.32,   1.935067,  0.285724,  0.000678, 0.010934,748.3183519,,,
18.24,± 1.46,   2.061388,  0.286407,  0.000679, 0.006741,754.8726606,,,
18.24,± 0.98,   1.986975,  0.276082,  0.000375, 0.004168,761.325348,,,
18.05,± 0.75,   1.868859,  0.262474,  0.000509, 0.002799,767.6795172,,,
17.89,± 0.65,   1.682691,  0.238376,  0.000510, 0.002026,773.9381314,,,
18.19,± 0.55,   2.618376,  0.364912,  0.000354, 0.002381,780.104022,,,
18.09,± 0.49,   2.869683,  0.402139,  0.000161, 0.002150,786.1798963,,,
17.90,± 0.46,   2.868775,  0.406223,  0.000927, 0.001827,792.1683449,,,
17.86,± 0.44,   3.310753,  0.469947,  0.000715, 0.001900,798.0718482,,,
17.77,± 0.42,   3.267514,  0.466067,  0.000599, 0.001590,803.8927822,,,
17.37,± 0.41,   2.895992,  0.422629,  0.000662, 0.001373,809.633425,,,
17.44,± 0.39,   3.658533,  0.531776,  0.000707, 0.001535,815.2959613,,,
16.92,± 0.38,   3.476883,  0.521204,  0.000588, 0.001414,820.8824881,,,
16.26,± 0.37,   3.434593,  0.535717,  0.000382, 0.001361,826.395019,,,
15.05,± 0.35,   2.903539,  0.489408,  0.000321, 0.001309,831.8354887,,,
13.69,± 0.34,   2.335177,  0.433032,  0.000899, 0.001244,837.2057567,,,
12.31,± 0.32,   2.031224,  0.418840,  0.000541, 0.001220,842.5076119,,,
10.81,± 0.29,   1.907875,  0.448288,  0.000795, 0.001231,847.7427752,,,
10.10,± 0.28,   1.550374,  0.389882,  0.000959, 0.001060,852.9129038,,,
9.73,± 0.27,   1.421806,  0.371381,  0.001061, 0.000956,858.0195937,,,
9.67,± 0.26,   1.559852,  0.410001,  0.001565, 0.000961,868.0487537,,,
9.54,± 0.25,   1.826835,  0.486320,  0.001507, 0.001156,877.8419114,,,
9.50,± 0.24,   2.164526,  0.579072,  0.001655, 0.001296,892.1126809,,,
9.52,± 0.23,   2.427060,  0.647930,  0.001716, 0.001277,905.910298,,,
9.37,± 0.22,   2.581920,  0.700534,  0.002306, 0.001275,919.2651337,,,
9.06,± 0.21,   2.495562,  0.699680,  0.002363, 0.001101,932.2047251,,,
8.90,± 0.20,   2.490402,  0.711002,  0.002472, 0.000969,944.7541181,,,
8.76,± 0.20,   2.337736,  0.677993,  0.002103, 0.000855,956.9361585,,,
8.63,± 0.20,   2.176173,  0.640528,  0.002456, 0.000736,968.7717428,,,
8.25,± 0.20,   1.536156,  0.473019,  0.001192, 0.000531,980.2800336,,,
8.46,± 0.21,   2.178606,  0.654651,  0.002572, 0.001183,998.7804127,,,
8.14,± 0.21,   1.693629,  0.528615,  0.001337, 0.000919,1016.493299,,,
8.14,± 0.20,   1.543566,  0.481717,  0.001715, 0.000576,1033.483004,,,
7.85,± 0.19,   1.515326,  0.490729,  0.003856, 0.000518,1065.51342,,,
6.15,± 0.19,   0.971463,  0.401797,  0.004302, 0.000632,1095.253926,,,
3.56,± 0.37,   0.175860,  0.125595,  0.001220, 0.000452,1123.01021,,,
4.60,± 2.32,   0.036030,  0.019935,  0.000645, 0.000433,1229.093815,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,